Time,Token,Action,Address,Amount
2022-06-17 09:00,USDC,TO,0x83971bef12686921e144db119042b484731ea120,100000.0
2022-06-21 10:00,USDC,FROM,0xef9fadde8539563d9a5e6625ce014b2e399f1597,14132.0
2022-06-21 10:00,USDC,FROM,0xef9fadde8539563d9a5e6625ce014b2e399f1597,2834.48
2022-06-27 12:00,USDC,FROM,0x3d0d0fdc3f8f4cbd1628cab514ec66654f49917e,7847.0
2022-06-27 12:00,USDC,FROM,0x5b6b4af06798a8c85e8c5effd69b112623e97fd3,4000.0
2022-07-02 11:00,USDC,FROM,0xd9327470293d188f6e35f12324d6cc115b9cd95d,5670.0
2022-07-22 04:00,USDC,FROM,0x3d0d0fdc3f8f4cbd1628cab514ec66654f49917e,21000.0
2022-07-26 14:00,USDC,FROM,0x5b6b4af06798a8c85e8c5effd69b112623e97fd3,4000.0
2022-07-30 18:00,USDC,FROM,0x3d0d0fdc3f8f4cbd1628cab514ec66654f49917e,6279.46
2022-07-30 18:00,USDC,FROM,0x08b2953abd1c784784386b8501f5e8640d3cb9c0,6014.0
2022-08-10 06:00,USDC,TO,0x83971bef12686921e144db119042b484731ea120,100000.0
2022-08-19 11:00,USDC,FROM,0x3d0d0fdc3f8f4cbd1628cab514ec66654f49917e,21000.0
2022-08-19 13:00,USDC,FROM,0x5b6b4af06798a8c85e8c5effd69b112623e97fd3,4000.0
2022-09-05 18:00,USDC,FROM,0x958c5eb6018832508108e18d58a4acaf6f5fe658,15000.0
2022-09-13 10:00,USDC,FROM,0x46d6a45167c9d4c6d5b6e4e6ece9834be53c8f9c,8000.0
2022-09-13 14:00,USDC,FROM,0x46d6a45167c9d4c6d5b6e4e6ece9834be53c8f9c,2267.0
2022-09-13 14:00,USDC,FROM,0x3d0d0fdc3f8f4cbd1628cab514ec66654f49917e,1285.0
2022-09-15 09:00,USDC,FROM,0x46d6a45167c9d4c6d5b6e4e6ece9834be53c8f9c,76.0
2022-09-20 09:00,USDC,FROM,0x3d0d0fdc3f8f4cbd1628cab514ec66654f49917e,21000.0
2022-09-20 09:00,USDC,FROM,0x5b6b4af06798a8c85e8c5effd69b112623e97fd3,4215.0
2022-10-10 16:00,USDC,FROM,0x3d0d0fdc3f8f4cbd1628cab514ec66654f49917e,868.0
2022-10-11 11:00,USDT,TO,0x83971bef12686921e144db119042b484731ea120,48775.0
2022-10-17 11:00,USDC,FROM,0x4a72907eeb02ff3e816fec0ca3356f45ba67d1ec,140.0
2022-10-19 10:00,USDC,FROM,0x5b6b4af06798a8c85e8c5effd69b112623e97fd3,4000.0
2022-10-19 10:00,USDC,FROM,0x3d0d0fdc3f8f4cbd1628cab514ec66654f49917e,21000.0
2022-10-19 10:00,USDC,FROM,0x3d0d0fdc3f8f4cbd1628cab514ec66654f49917e,97.0
2022-10-19 13:00,USDC,FROM,0xef9fadde8539563d9a5e6625ce014b2e399f1597,100.0
2022-10-20 15:00,USDC,FROM,0xef9fadde8539563d9a5e6625ce014b2e399f1597,140.0
2022-10-20 15:00,USDC,FROM,0xef9fadde8539563d9a5e6625ce014b2e399f1597,200.0
2022-10-25 08:00,USDT,FROM,0x7b464929a7c7c9f59335211a0f699667322b4f14,25517.0
2022-11-07 19:00,USDC,FROM,0x3d0d0fdc3f8f4cbd1628cab514ec66654f49917e,884.0
2022-11-16 20:00,USDC,FROM,0x5b6b4af06798a8c85e8c5effd69b112623e97fd3,3249.0
2022-11-17 15:00,USDC,FROM,0x5b6b4af06798a8c85e8c5effd69b112623e97fd3,4000.0
2022-11-17 15:00,USDT,FROM,0x3d0d0fdc3f8f4cbd1628cab514ec66654f49917e,21000.0
2022-11-23 15:00,USDC,TO,0x83971bef12686921e144db119042b484731ea120,20077.669484
2022-11-23 16:00,USDT,FROM,0xe5ea222c37cd23f37c6f35c51d2c008479ea1bc2,609.0
2022-11-24 09:00,USDC,TO,0x75ff84530c0628485127c8501fad8a555307488c,100000.0
2022-11-24 14:00,USDC,FROM,0x4a72907eeb02ff3e816fec0ca3356f45ba67d1ec,67632.35
2022-11-24 14:00,USDT,TO,0x4a72907eeb02ff3e816fec0ca3356f45ba67d1ec,66990.022037
2022-11-24 16:00,USDT,FROM,0x7b464929a7c7c9f59335211a0f699667322b4f14,38573.17
2022-11-25 09:00,USDC,FROM,0x958c5eb6018832508108e18d58a4acaf6f5fe658,5000.0
2022-11-25 09:00,USDT,FROM,0x7b464929a7c7c9f59335211a0f699667322b4f14,28986.32
2022-11-28 10:00,USDC,FROM,0x3d0d0fdc3f8f4cbd1628cab514ec66654f49917e,2554.0
2022-11-28 11:00,USDC,FROM,0x4a72907eeb02ff3e816fec0ca3356f45ba67d1ec,33000.0
2022-11-28 11:00,USDT,TO,0x4a72907eeb02ff3e816fec0ca3356f45ba67d1ec,32758.583985
2022-11-28 11:00,USDT,FROM,0x7b464929a7c7c9f59335211a0f699667322b4f14,31849.98
2022-12-07 11:00,USDC,FROM,0x3b47469b17206008a3e23c2a49539ea32f3435ab,240.0
2022-12-14 10:00,USDC,FROM,0x3d0d0fdc3f8f4cbd1628cab514ec66654f49917e,21000.0
2022-12-14 17:00,USDC,FROM,0x5b6b4af06798a8c85e8c5effd69b112623e97fd3,4000.0
2022-12-19 08:00,USDC,TO,0x75ff84530c0628485127c8501fad8a555307488c,200000.0
2022-12-19 09:00,USDC,FROM,0x3154677b603c2b30810b46a56b46892aa09d60e2,6000.0
2022-12-27 11:00,USDC,FROM,0xcc3d189871e54b2a4214d5a989439d1cf5060392,2500.0
2023-01-05 11:00,USDC,FROM,0x4a72907eeb02ff3e816fec0ca3356f45ba67d1ec,82000.0
2023-01-05 11:00,USDC,FROM,0x3d0d0fdc3f8f4cbd1628cab514ec66654f49917e,2118.0
2023-01-05 11:00,USDT,TO,0x4a72907eeb02ff3e816fec0ca3356f45ba67d1ec,82008.027998
2023-01-05 12:00,USDT,FROM,0x7b464929a7c7c9f59335211a0f699667322b4f14,34504.0
2023-01-05 12:00,USDT,FROM,0x7b464929a7c7c9f59335211a0f699667322b4f14,29812.0
2023-01-16 09:00,USDC,FROM,0x3a3a352a4173553cac9ca7467478597ce8fc93fa,8375.0
2023-01-16 11:00,USDC,FROM,0x3d0d0fdc3f8f4cbd1628cab514ec66654f49917e,22700.0
2023-01-16 12:00,USDC,FROM,0x5b6b4af06798a8c85e8c5effd69b112623e97fd3,4000.0
2023-01-17 14:00,USDC,FROM,0x3154677b603c2b30810b46a56b46892aa09d60e2,5000.0
2023-01-17 14:00,USDC,FROM,0x3d0d0fdc3f8f4cbd1628cab514ec66654f49917e,2184.0
2023-01-18 06:00,USDC,FROM,0x3d0d0fdc3f8f4cbd1628cab514ec66654f49917e,584.0
2023-01-18 10:00,USDC,FROM,0x5b6b4af06798a8c85e8c5effd69b112623e97fd3,4044.0
2023-01-27 15:00,USDC,FROM,0xf5245992b5af764cba0afe352c7578b20c5e7cfe,500.0
2023-01-27 15:00,USDC,FROM,0x4a72907eeb02ff3e816fec0ca3356f45ba67d1ec,23167.0
2023-01-27 15:00,USDC,FROM,0x0c482919bbf8551c7be9b34e7e957f7183b5ba1e,2250.0
2023-01-27 15:00,USDT,TO,0x4a72907eeb02ff3e816fec0ca3356f45ba67d1ec,22991.41128
2023-01-27 15:00,USDT,FROM,0x7b464929a7c7c9f59335211a0f699667322b4f14,23164.0
2023-02-01 17:00,USDC,FROM,0x3d0d0fdc3f8f4cbd1628cab514ec66654f49917e,1960.0
2023-02-03 11:00,USDC,FROM,0x3d0d0fdc3f8f4cbd1628cab514ec66654f49917e,20465.68
2023-02-03 15:00,USDC,FROM,0x3a3a352a4173553cac9ca7467478597ce8fc93fa,8375.0
2023-02-03 17:00,USDC,TO,0x75ff84530c0628485127c8501fad8a555307488c,200000.0
2023-02-05 11:00,USDC,FROM,0x3154677b603c2b30810b46a56b46892aa09d60e2,1199.0
2023-02-06 17:00,USDC,FROM,0x4a72907eeb02ff3e816fec0ca3356f45ba67d1ec,30874.0
2023-02-06 17:00,USDT,TO,0x4a72907eeb02ff3e816fec0ca3356f45ba67d1ec,30639.6163
2023-02-06 18:00,USDC,FROM,0xb104c36540604bc406a4d8510b1b82d30b5cdb78,1.0
2023-02-06 18:00,USDT,FROM,0x7b464929a7c7c9f59335211a0f699667322b4f14,33332.96
2023-02-06 19:00,USDC,FROM,0xb104c36540604bc406a4d8510b1b82d30b5cdb78,800.0
2023-02-13 10:00,USDC,FROM,0xb104c36540604bc406a4d8510b1b82d30b5cdb78,4224.0
2023-02-15 19:00,USDC,FROM,0x4a72907eeb02ff3e816fec0ca3356f45ba67d1ec,18000.0
2023-02-15 19:00,USDC,TO,0x4a72907eeb02ff3e816fec0ca3356f45ba67d1ec,18000.0
2023-02-15 20:00,USDC,FROM,0x4a72907eeb02ff3e816fec0ca3356f45ba67d1ec,18000.0
2023-02-15 20:00,USDT,TO,0x4a72907eeb02ff3e816fec0ca3356f45ba67d1ec,17861.922876
2023-02-15 21:00,USDT,FROM,0x7b464929a7c7c9f59335211a0f699667322b4f14,33456.52
2023-02-19 17:00,USDC,FROM,0xb104c36540604bc406a4d8510b1b82d30b5cdb78,22504.0
2023-02-19 17:00,USDC,FROM,0x20bf7dc4b28c1d7e0c0bc8f48d310d724743b9ad,5500.0
2023-02-19 17:00,USDC,FROM,0x5b6b4af06798a8c85e8c5effd69b112623e97fd3,4000.0
2023-02-19 17:00,USDC,FROM,0x5b6b4af06798a8c85e8c5effd69b112623e97fd3,1529.0
2023-02-22 08:00,USDC,FROM,0xf5245992b5af764cba0afe352c7578b20c5e7cfe,750.0
2023-02-22 08:00,USDC,FROM,0x0c482919bbf8551c7be9b34e7e957f7183b5ba1e,3000.0
2023-02-28 11:00,USDC,FROM,0x3d0d0fdc3f8f4cbd1628cab514ec66654f49917e,16442.52
2023-03-06 18:00,USDC,FROM,0x3a3a352a4173553cac9ca7467478597ce8fc93fa,8375.0
2023-03-06 18:00,USDC,FROM,0xf2d414978fa3b4e65d8b936624fa7cbb568d30ee,3000.0
2023-03-06 19:00,USDC,FROM,0xf2d414978fa3b4e65d8b936624fa7cbb568d30ee,130.0
2023-03-06 20:00,USDC,FROM,0x4a72907eeb02ff3e816fec0ca3356f45ba67d1ec,32793.0
2023-03-06 20:00,USDT,TO,0x4a72907eeb02ff3e816fec0ca3356f45ba67d1ec,32537.960374
2023-03-06 21:00,USDT,FROM,0x7b464929a7c7c9f59335211a0f699667322b4f14,32790.57
2023-03-10 13:00,USDC,FROM,0xb104c36540604bc406a4d8510b1b82d30b5cdb78,921.0
2023-03-10 15:00,USDC,FROM,0x5b6b4af06798a8c85e8c5effd69b112623e97fd3,1131.44
2023-03-16 16:00,USDC,TO,0x75ff84530c0628485127c8501fad8a555307488c,100000.0
2023-03-17 13:00,USDC,FROM,0xb104c36540604bc406a4d8510b1b82d30b5cdb78,22328.0
2023-03-17 15:00,USDC,FROM,0x5b6b4af06798a8c85e8c5effd69b112623e97fd3,4000.0
2023-03-17 15:00,USDC,FROM,0x0c482919bbf8551c7be9b34e7e957f7183b5ba1e,3000.0
2023-03-17 15:00,USDC,FROM,0x3154677b603c2b30810b46a56b46892aa09d60e2,6000.0
2023-03-20 21:00,USDC,FROM,0x4a72907eeb02ff3e816fec0ca3356f45ba67d1ec,29267.51
2023-03-20 21:00,USDT,TO,0x4a72907eeb02ff3e816fec0ca3356f45ba67d1ec,28911.274901
2023-03-20 21:00,USDT,FROM,0x7b464929a7c7c9f59335211a0f699667322b4f14,29206.37
2023-03-21 21:00,USDC,FROM,0x5b6b4af06798a8c85e8c5effd69b112623e97fd3,1733.0
2023-03-21 21:00,USDC,FROM,0x3a3a352a4173553cac9ca7467478597ce8fc93fa,8375.0
2023-03-26 15:00,USDC,FROM,0x3d0d0fdc3f8f4cbd1628cab514ec66654f49917e,22709.99
2023-04-04 05:00,USDC,FROM,0x8704c1f31906c7ab62901ea8bdb3974e655297fa,10000.0
2023-04-04 05:00,USDC,FROM,0x4a72907eeb02ff3e816fec0ca3356f45ba67d1ec,33376.0
2023-04-04 06:00,USDT,TO,0x4a72907eeb02ff3e816fec0ca3356f45ba67d1ec,33360.812206
2023-04-04 06:00,USDT,FROM,0x7b464929a7c7c9f59335211a0f699667322b4f14,33374.0
2023-04-05 09:00,USDC,FROM,0x8704c1f31906c7ab62901ea8bdb3974e655297fa,4000.0
2023-04-06 04:00,USDC,TO,0x75ff84530c0628485127c8501fad8a555307488c,100000.0
2023-04-06 05:00,USDC,FROM,0x8704c1f31906c7ab62901ea8bdb3974e655297fa,10000.0
2023-04-11 12:00,USDC,FROM,0x2457f9e32d8f008c6095378772b8d6b52415eb05,3000.0
2023-04-13 13:00,USDC,FROM,0x2457f9e32d8f008c6095378772b8d6b52415eb05,3200.0
2023-04-16 18:00,USDC,FROM,0xb104c36540604bc406a4d8510b1b82d30b5cdb78,23315.25
2023-04-16 19:00,USDC,FROM,0x5b6b4af06798a8c85e8c5effd69b112623e97fd3,4000.0
2023-04-16 19:00,USDC,FROM,0x3154677b603c2b30810b46a56b46892aa09d60e2,6000.0
2023-04-17 10:00,USDC,FROM,0x9f2301960df3d3c97d891362d716f42e93d35d1e,810.0
2023-04-17 10:00,USDC,FROM,0xb104c36540604bc406a4d8510b1b82d30b5cdb78,2928.0
2023-04-17 10:00,USDC,FROM,0x9f2301960df3d3c97d891362d716f42e93d35d1e,400.0
2023-04-17 10:00,USDC,FROM,0x3154677b603c2b30810b46a56b46892aa09d60e2,1782.9
2023-04-17 10:00,USDC,FROM,0xe135ff5b6eaa5f7db2a53ef85aa18de3b969b7ee,1735.46
2023-04-17 10:00,USDC,FROM,0xd266d61ac22c2a2ac2dd832e79c14ea152c998d6,1033.04
2023-04-17 10:00,USDC,FROM,0x4a72907eeb02ff3e816fec0ca3356f45ba67d1ec,31689.0
2023-04-17 10:00,USDT,TO,0x4a72907eeb02ff3e816fec0ca3356f45ba67d1ec,31404.939448
2023-04-17 11:00,USDC,FROM,0x0c482919bbf8551c7be9b34e7e957f7183b5ba1e,3000.0
2023-04-17 14:00,USDT,FROM,0x7b464929a7c7c9f59335211a0f699667322b4f14,31553.73
2023-04-18 13:00,USDC,FROM,0x3d0d0fdc3f8f4cbd1628cab514ec66654f49917e,2554.4
2023-04-24 16:00,USDC,TO,0x75ff84530c0628485127c8501fad8a555307488c,100000.0
2023-05-02 07:00,USDC,FROM,0x3d0d0fdc3f8f4cbd1628cab514ec66654f49917e,17865.7
2023-05-05 07:00,USDC,FROM,0x4a72907eeb02ff3e816fec0ca3356f45ba67d1ec,23832.0
2023-05-09 06:00,USDT,TO,0x4a72907eeb02ff3e816fec0ca3356f45ba67d1ec,21632.682245
2023-05-09 10:00,USDC,FROM,0x4a72907eeb02ff3e816fec0ca3356f45ba67d1ec,2500.0
2023-05-09 11:00,USDC,FROM,0x3154677b603c2b30810b46a56b46892aa09d60e2,2060.0
2023-05-09 13:00,USDT,TO,0x4a72907eeb02ff3e816fec0ca3356f45ba67d1ec,1486.83229
2023-05-09 13:00,USDT,TO,0x4a72907eeb02ff3e816fec0ca3356f45ba67d1ec,203.126855
2023-05-09 13:00,USDT,FROM,0x7b464929a7c7c9f59335211a0f699667322b4f14,23830.0
2023-05-10 15:00,USDC,FROM,0xc87b0ce1a25d9cdca23190db091245774792edcd,5000.0
2023-05-14 10:00,USDC,FROM,0x3154677b603c2b30810b46a56b46892aa09d60e2,2000.0
2023-05-15 08:00,USDC,FROM,0x3f74981378e2b5153a7bfa9c64ebd7fb1cf20ad6,12300.0
2023-05-15 09:00,USDC,FROM,0x9b590df06a4be7aa7cd1a0cde72fa6c49abd6720,6000.0
2023-05-15 09:00,USDC,FROM,0xb104c36540604bc406a4d8510b1b82d30b5cdb78,1099.0
2023-05-15 14:00,USDC,FROM,0xb104c36540604bc406a4d8510b1b82d30b5cdb78,130.0
2023-05-16 11:00,USDC,FROM,0xb104c36540604bc406a4d8510b1b82d30b5cdb78,22825.59
2023-05-16 12:00,USDC,FROM,0x5b6b4af06798a8c85e8c5effd69b112623e97fd3,4000.0
2023-05-16 12:00,USDC,FROM,0x3154677b603c2b30810b46a56b46892aa09d60e2,6000.0
2023-05-17 08:00,USDC,FROM,0x0c482919bbf8551c7be9b34e7e957f7183b5ba1e,3000.0
2023-05-17 11:00,USDC,TO,0x75ff84530c0628485127c8501fad8a555307488c,100000.0
2023-05-17 11:00,USDC,FROM,0x3154677b603c2b30810b46a56b46892aa09d60e2,4000.0
2023-05-17 13:00,USDC,FROM,0xe64eeb89afc40293baf60f35efb40ad8dc5538c7,31500.0
2023-05-18 11:00,USDC,FROM,0x9f2301960df3d3c97d891362d716f42e93d35d1e,1000.0
2023-05-18 16:00,USDC,FROM,0xd19601dc9565b80863a6a52b5285ac212d36175c,500.0
2023-05-18 17:00,USDC,FROM,0x4a72907eeb02ff3e816fec0ca3356f45ba67d1ec,32622.3
2023-05-19 08:00,USDC,FROM,0xfd4843583fd52f7314f89a884be9b0cd304d486f,600.0
2023-05-19 13:00,USDT,TO,0x4a72907eeb02ff3e816fec0ca3356f45ba67d1ec,31717.776406
2023-05-19 16:00,USDT,FROM,0x7b464929a7c7c9f59335211a0f699667322b4f14,31691.15
2023-05-22 09:00,USDC,FROM,0xd19601dc9565b80863a6a52b5285ac212d36175c,3000.0
2023-05-23 06:00,USDC,FROM,0x3d0d0fdc3f8f4cbd1628cab514ec66654f49917e,2554.08
2023-05-23 07:00,USDC,FROM,0xd19601dc9565b80863a6a52b5285ac212d36175c,1000.0
2023-05-23 07:00,USDC,FROM,0xd19601dc9565b80863a6a52b5285ac212d36175c,1000.0
2023-05-23 07:00,USDC,FROM,0xd19601dc9565b80863a6a52b5285ac212d36175c,2500.0
2023-05-23 10:00,USDC,FROM,0xf5106a1a017e3ddd18f1f9310156bd4e7e02f29d,2000.0
2023-05-26 16:00,USDC,FROM,0xd19601dc9565b80863a6a52b5285ac212d36175c,6950.0
2023-05-30 08:00,USDC,FROM,0xc87b0ce1a25d9cdca23190db091245774792edcd,5000.0
2023-05-31 09:00,USDC,TO,0x75ff84530c0628485127c8501fad8a555307488c,100000.0
2023-06-01 11:00,USDC,FROM,0x4a72907eeb02ff3e816fec0ca3356f45ba67d1ec,22000.0
2023-06-03 10:00,USDC,FROM,0x3154677b603c2b30810b46a56b46892aa09d60e2,3855.0
2023-06-03 10:00,USDC,FROM,0xe135ff5b6eaa5f7db2a53ef85aa18de3b969b7ee,494.1
2023-06-04 18:00,USDC,FROM,0x57dc4f8d5fbc32e90553052009582865905769cf,250.0
2023-06-05 04:00,USDT,TO,0x4a72907eeb02ff3e816fec0ca3356f45ba67d1ec,21833.361797
2023-06-05 07:00,USDT,FROM,0x7b464929a7c7c9f59335211a0f699667322b4f14,20303.85
2023-06-13 08:00,USDC,FROM,0x0648b45bac6ddda74159789bfab3c30db9d8a3c5,4000.0
2023-06-15 09:00,USDC,FROM,0xb104c36540604bc406a4d8510b1b82d30b5cdb78,22830.93
2023-06-15 12:00,USDC,FROM,0xb104c36540604bc406a4d8510b1b82d30b5cdb78,865.0
2023-06-16 09:00,USDC,FROM,0x4a72907eeb02ff3e816fec0ca3356f45ba67d1ec,27462.0
2023-06-16 10:00,USDC,FROM,0x3154677b603c2b30810b46a56b46892aa09d60e2,10000.0
2023-06-16 10:00,USDC,FROM,0x0c482919bbf8551c7be9b34e7e957f7183b5ba1e,3000.0
2023-06-16 10:00,USDC,FROM,0x5b6b4af06798a8c85e8c5effd69b112623e97fd3,4000.0
2023-06-16 10:00,USDC,FROM,0x5b6b4af06798a8c85e8c5effd69b112623e97fd3,323.31
2023-06-16 10:00,USDC,FROM,0xb104c36540604bc406a4d8510b1b82d30b5cdb78,708.0
2023-06-16 10:00,USDT,TO,0x4a72907eeb02ff3e816fec0ca3356f45ba67d1ec,27259.668465
2023-06-16 10:00,USDT,FROM,0x7b464929a7c7c9f59335211a0f699667322b4f14,26749.34
2023-06-22 07:00,USDC,FROM,0x3d0d0fdc3f8f4cbd1628cab514ec66654f49917e,2625.86
2023-06-24 15:00,USDC,FROM,0xfd4843583fd52f7314f89a884be9b0cd304d486f,600.0
2023-06-27 13:00,USDC,TO,0x75ff84530c0628485127c8501fad8a555307488c,100000.0
2023-06-28 06:00,USDC,FROM,0x4a72907eeb02ff3e816fec0ca3356f45ba67d1ec,25614.0
2023-06-28 07:00,USDT,TO,0x4a72907eeb02ff3e816fec0ca3356f45ba67d1ec,25393.504975
2023-06-28 08:00,USDT,FROM,0x7b464929a7c7c9f59335211a0f699667322b4f14,25620.0
2023-07-07 03:00,USDC,FROM,0x9f2301960df3d3c97d891362d716f42e93d35d1e,950.0
2023-07-09 05:00,USDC,FROM,0xc87b0ce1a25d9cdca23190db091245774792edcd,5000.0
2023-07-12 08:00,USDC,FROM,0x4a72907eeb02ff3e816fec0ca3356f45ba67d1ec,26711.05
2023-07-12 08:00,USDT,TO,0x4a72907eeb02ff3e816fec0ca3356f45ba67d1ec,26482.302758
